Работы в МСЧ,1,"мсч 10, клиника 10, санчасть 10, санитарная часть 7, медицинская 8"
Аналитика,,
Разработка или изменение информационных панелей,2,"аналитика 8, информационная 4, информационные 4, инфоррмационная панель 7, информационные панели 7, разработка 6, разработки 6, разработку 6, изменение 5, измменения 5"
Корректировка данных в системе бизнес-анализа,3,"аналитика 8, информационная 4, информационные 4, инфоррмационная панель 7, информационные панели 7, корректировка 5, корректировать 5, измениить 5, поменять 5, данные 3, данных 3"
Представление данных для системы бизнес-анализа,4,"аналитика 8, информационная 4, информационные 4, инфоррмационная панель 7, информационные панели 7, предоставить 3, данные 3, данных 3"
Администрирование системы бизнес-анализа,5,"аналитика 8, информационная 4, информационные 4, инфоррмационная панель 7, информационные панели 7, админ 3, администрировать 3"
Платформа Яндекс.360,,
Ошибка доступа в Яндекс.360,6,"яндекс 20, яндекс 360 20, 360 20"
Предоставление доступа к платформе Яндекс.360,7,"яндекс 20, яндекс 360 20, 360 20, доступ 4, доступа 4"
Системы видеоконференцсвязи,,
Ошибка подключения,8,"видео 4, видеоконференцсвязи 10, подключение 4, подключения 4"
Предоставление доступа к сервису mind.kpfu.ru,9,"видео 4, видеоконференцсвязи 10, mind.kpfu.ru 10, доступ 4, доступа 4"
"Предоставление доступа к сервисам: VCS, Trueconf, BigBlueButton",10,"видео 4, видеоконференцсвязи 10, VCS 10, Trueconf 10, BigBlueButton 10, доступ 4, доступа 4"
Предоставление доступа к платформе МТС.Линк (ранее Вебинар),11,"видео 4, видеоконференцсвязи 10, мтс.линк 10, мтс 10, вебинар 10, доступ 4, доступа 4"
Домен университета (Active Directory),,
Отсутствие доступа учетной записи к домену,12,"домен 7, учетная запись 5, учетной записи 5, аккаунт 5, аккаунту 5, доступ 4, доступа 4, нет доступа 6, вход 2, аутентификация 5"
Ошибка входа в домен на компьютерной технике,13,"домен 7, учетная запись 5, учетной записи 5, аккаунт 5, аккаунту 5, доступ 4, доступа 4, нет доступа 6, вход 2, аутентификация 5, компьютер 5, компьютера 5"
Ввод в домен компьютерной техники,14,
Настройка прав доступа учетной записи (П),15,"домен 7, учетная запись 5, учетной записи 5, аккаунт 5, аккаунту 5, доступ 4, доступа 4, права 6, прав 6"
Интернет,,
Отсутствует доступ в интернет,16,"интернет 10, интернета 10, интернету 10, доступ 4, доступа 4, подключение 3, подключения 3"
Отсутствие доступа к удаленным ресурсам,17,"интернет 8, интернета 8, интернету 8, доступ 4, доступа 4, подключение 3, подключения 3"
Проблема с доступом по каналам связи,18,"интернет 8, интернета 8, интернету 8, доступ 4, доступа 4, подключение 3, подключения 3"
Настройка интернета,19,"интернет 10, интернета 10, интернету 10, настройка 10"
Подключение и настройка сетевой папки,20,"сетевая папка 10, сетевой папки 10, сетевую папку 10, настройка 7, подключение 6, подключить 6, настроить 6"
Открытие особого доступа в интернет (П),21,
Информационно-аналитическая система Электронный университет,,
Ошибка работы ИАС,22,"иас 20, аналитическая система 10, информационно 7, ошибка работы 7, ошибка 7"
